sample_id,clay_pct,sand_pct,date_sampled
230061B,6.54,84.5,"August 1st, 2025"
250246A,100,0,"August 1st, 2025"
250246B,100,0,"August 1st, 2025"
250247B,100,0,"August 1st, 2025"
250394C,46.3,42.6,"August 1st, 2025"
250394D,44.8,43.5,"August 1st, 2025"
250410A,42.5,47.3,"August 1st, 2025"
250410B,43.9,46.7,"August 1st, 2025"
250510A,63.9,28.4,"August 1st, 2025"
250513B,23.8,62.7,"August 1st, 2025"
230061A,6.35,84.4,"August 4th, 2025"
230062A,41.4,47,"August 4th, 2025"
230062B,40.4,49.4,"August 4th, 2025"
250247A,100,0,"August 4th, 2025"
250510B,62.7,29.6,"August 4th, 2025"
250513A,25.3,61,"August 4th, 2025"
250197B,6.35,82.9,"December 12th, 2025"
250201B,7.24,81,"December 12th, 2025"
250205B,10.9,70.2,"December 12th, 2025"
250206B,12.7,71.4,"December 12th, 2025"
250210B,9.36,81.6,"December 12th, 2025"
250212B,43.6,47.2,"December 12th, 2025"
250213B,61.4,33.5,"December 12th, 2025"
250220B,6.1,87.8,"December 12th, 2025"
250221B,6.85,87,"December 12th, 2025"
250236B,5.46,85.5,"December 12th, 2025"
250240B,5.17,85.2,"December 12th, 2025"
250241B,26.1,62,"December 12th, 2025"
250244B,6.14,84.5,"December 12th, 2025"
250248B,4.59,86.4,"December 12th, 2025"
250249B,12,73.3,"December 12th, 2025"
250253B,5.55,84.1,"December 12th, 2025"
250254B,5.73,83.6,"December 12th, 2025"
250256B,51.6,39.3,"December 12th, 2025"
250257B,70.6,25.2,"December 12th, 2025"
250263B,6.19,82.1,"December 12th, 2025"
250264B,6.22,82.2,"December 12th, 2025"
250265B,8.97,77.7,"December 12th, 2025"
250266B,22,64.4,"December 12th, 2025"
250267B,39.9,49.5,"December 12th, 2025"
250270B,7.39,78.8,"December 12th, 2025"
250271B,7.71,78.5,"December 12th, 2025"
250272B,12.2,73.7,"December 12th, 2025"
250273B,16.7,70.8,"December 12th, 2025"
250266B,11.4,76.5,"December 12th, 2025"
250275B,64.2,30.2,"December 12th, 2025"
250465B,23.4,62.7,"December 12th, 2025"
250468B,4.44,88,"December 12th, 2025"
250469B,9.37,79.6,"December 12th, 2025"
250470B,10.5,77.9,"December 12th, 2025"
250471B,27,64.2,"December 12th, 2025"
250480B,35.5,51.6,"December 12th, 2025"
250414B,16.8,71.3,"December 17th, 2025"
250415B,30.7,61.3,"December 17th, 2025"
250416B,26.6,65.5,"December 17th, 2025"
250417B,5.36,90.3,"December 17th, 2025"
250418B,12.2,70.6,"December 17th, 2025"
250419B,5.83,91.4,"December 17th, 2025"
250420B,5.94,82.6,"December 17th, 2025"
250421B,9.26,81.5,"December 17th, 2025"
250422B,4.72,87.9,"December 17th, 2025"
250423B,13,77.2,"December 17th, 2025"
250472B,12.8,79.1,"December 17th, 2025"
250473B,20.8,62.8,"December 17th, 2025"
250474B,29.6,53,"December 17th, 2025"
250479B,5.58,84.2,"December 17th, 2025"
250484B,4.49,87.7,"December 17th, 2025"
250485B,5.9,85.7,"December 17th, 2025"
250486B,6.34,83,"December 17th, 2025"
250487B,4.86,87.5,"December 17th, 2025"
250488B,4.38,89.3,"December 17th, 2025"
250489B,4.07,89,"December 17th, 2025"
250490B,40.8,48.2,"December 17th, 2025"
250493B,5.57,84.7,"December 17th, 2025"
250494B,27.7,58.9,"December 17th, 2025"
250495B,39.8,49.2,"December 17th, 2025"
250498B,4.35,88.3,"December 17th, 2025"
250499B,10.3,78.9,"December 17th, 2025"
250500B,12.5,76.1,"December 17th, 2025"
