BASE_ID,avg_SAND,avg_SILT,avg_CLAY,LPSA_texture_status,lab_texture_class
230048,41.7,7.550000000000001,50.75,ALL_CLASS_AGREE,C
230050,37.8,7.350000000000001,54.849999999999994,ALL_CLASS_AGREE,C
240369,38.4,7.550000000000004,54.05,ALL_CLASS_AGREE,C
250394,43.55,11.600000000000001,44.849999999999994,ALL_CLASS_AGREE,C
250208,28.1,6.650000000000002,65.25,ALL_CLASS_AGREE,C
250233,25.8,10.700000000000003,63.5,ALL_CLASS_AGREE,C
250234,22.1,3.9000000000000057,74,ALL_CLASS_AGREE,C
250242,24.7,7.8999999999999915,67.4,ALL_CLASS_AGREE,C
250250,32.75,9.100000000000001,58.15,ALL_CLASS_AGREE,C
250444,25.6,5.400000000000006,69,ALL_CLASS_AGREE,C
250446,27.65,4.049999999999997,68.30000000000001,ALL_CLASS_AGREE,C
250449,22.6,4.050000000000001,73.35,ALL_CLASS_AGREE,C
250475,19.2,6.799999999999997,74,ALL_CLASS_AGREE,C
250476,22.2,7.5,70.3,ALL_CLASS_AGREE,C
250491,27.6,6.199999999999996,66.2,ALL_CLASS_AGREE,C
250496,29.700000000000003,6.099999999999998,64.2,ALL_CLASS_AGREE,C
250509,28.4,4.649999999999999,66.95,ALL_CLASS_AGREE,C
250520,28.5,5,66.5,ALL_CLASS_AGREE,C
230045,83.19999999999999,9.835000000000004,6.965,ALL_CLASS_AGREE,LS
230046,33.6,6.650000000000006,59.75,ALL_CLASS_AGREE,C
230047,62.150000000000006,8.999999999999998,28.85,ALL_CLASS_AGREE,SCL
230049,82.9,8.580000000000002,8.52,ALL_CLASS_AGREE,LS
230051,87.05,8.125000000000004,4.824999999999999,ALL_CLASS_AGREE,LS
230052,69.94999999999999,13.000000000000004,17.05,ALL_CLASS_AGREE,SL
230053,64.75,12.65,22.6,ALL_CLASS_AGREE,SCL
230054,62.099999999999994,8.050000000000002,29.85,ALL_CLASS_AGREE,SCL
230055,69.2,7.4499999999999975,23.35,ALL_CLASS_AGREE,SCL
230056,85.8,8.805000000000003,5.395,ALL_CLASS_AGREE,LS
230057,43.900000000000006,10.899999999999999,45.2,ALL_CLASS_AGREE,C
230058,29.049999999999997,6.6499999999999915,64.30000000000001,ALL_CLASS_AGREE,C
230059,28.5,5.25,66.25,ALL_CLASS_AGREE,C
230060,28,4.299999999999997,67.7,ALL_CLASS_AGREE,C
230063,57.15,9.7,33.150000000000006,ALL_CLASS_AGREE,SCL
230064,53,6.849999999999998,40.150000000000006,ALL_CLASS_AGREE,SC
230065,61.7,6.399999999999999,31.9,ALL_CLASS_AGREE,SCL
230066,62.15,6.5500000000000025,31.299999999999997,ALL_CLASS_AGREE,SCL
240311,86.2,8.299999999999997,5.5,ALL_CLASS_AGREE,LS
240312,74.2,10.099999999999998,15.7,ALL_CLASS_AGREE,SL
240313,65.3,10.950000000000003,23.75,ALL_CLASS_AGREE,SCL
240314,28.7,4.599999999999994,66.7,ALL_CLASS_AGREE,C
240315,41.099999999999994,5.600000000000005,53.3,ALL_CLASS_AGREE,C
240316,86.5,8.129999999999999,5.37,ALL_CLASS_AGREE,LS
240317,83.25,8.98,7.77,ALL_CLASS_AGREE,LS
240318,51.25,9.95,38.8,ALL_CLASS_AGREE,SC
240319,50.2,9.349999999999998,40.45,ALL_CLASS_AGREE,SC
240320,28.95,4.549999999999997,66.5,ALL_CLASS_AGREE,C
240321,27.049999999999997,3.799999999999997,69.15,ALL_CLASS_AGREE,C
240322,62.900000000000006,8.549999999999997,28.55,ALL_CLASS_AGREE,SCL
240323,29.049999999999997,5.29999999999999,65.65,ALL_CLASS_AGREE,C
240324,22.15,3.450000000000003,74.4,ALL_CLASS_AGREE,C
240325,23.700000000000003,2.950000000000003,73.35,ALL_CLASS_AGREE,C
240326,23.75,2.4000000000000057,73.85,ALL_CLASS_AGREE,C
240327,83.5,9.455,7.045,ALL_CLASS_AGREE,LS
240328,43.8,8.45,47.75,ALL_CLASS_AGREE,C
240329,40.900000000000006,7.349999999999998,51.75,ALL_CLASS_AGREE,C
240330,35.7,4.599999999999998,59.7,ALL_CLASS_AGREE,C
240331,85.85,8.749999999999998,5.4,ALL_CLASS_AGREE,LS
240333,42.95,9.600000000000001,47.45,ALL_CLASS_AGREE,C
240334,21.200000000000003,3.450000000000003,75.35,ALL_CLASS_AGREE,C
240335,17.5,2.5,80,ALL_CLASS_AGREE,C
240336,84.45,9.699999999999996,5.85,ALL_CLASS_AGREE,LS
240338,42.95,10.599999999999998,46.45,ALL_CLASS_AGREE,C
240339,26.85,5.700000000000003,67.44999999999999,ALL_CLASS_AGREE,C
240340,18.799999999999997,2.9499999999999957,78.25,ALL_CLASS_AGREE,C
240341,86.1,8.825,5.074999999999999,ALL_CLASS_AGREE,LS
240342,86.94999999999999,8.095000000000004,4.955,ALL_CLASS_AGREE,LS
240343,65.5,12.25,22.25,ALL_CLASS_AGREE,SCL
240346,82.25,11.76,5.99,ALL_CLASS_AGREE,LS
240347,86.6,7.919999999999998,5.48,ALL_CLASS_AGREE,LS
240348,62.25,14.55,23.2,ALL_CLASS_AGREE,SCL
240350,81.65,10.275000000000002,8.075,ALL_CLASS_AGREE,LS
240351,82.3,9.235000000000003,8.465,ALL_CLASS_AGREE,LS
240352,85.1,9.579999999999998,5.32,ALL_CLASS_AGREE,LS
240353,83.2,10.904999999999998,5.895,ALL_CLASS_AGREE,LS
240354,83.1,10.544999999999998,6.355,ALL_CLASS_AGREE,LS
240355,82.35,10.405000000000005,7.245,ALL_CLASS_AGREE,LS
240356,83.05,9.810000000000002,7.14,ALL_CLASS_AGREE,LS
240357,82.4,8.46,9.14,ALL_CLASS_AGREE,LS
240358,82.9,10.850000000000001,6.25,ALL_CLASS_AGREE,LS
240359,78.1,11.150000000000006,10.75,ALL_CLASS_AGREE,SL
240360,73.4,10.000000000000002,16.6,ALL_CLASS_AGREE,SL
240361,67.55,9.250000000000002,23.200000000000003,ALL_CLASS_AGREE,SCL
240363,86.30000000000001,8.549999999999995,5.15,ALL_CLASS_AGREE,LS
240364,79.2,10.749999999999996,10.05,ALL_CLASS_AGREE,SL
240365,33.9,7.550000000000004,58.55,ALL_CLASS_AGREE,C
240366,34.05,5.800000000000004,60.15,ALL_CLASS_AGREE,C
240367,86.65,8.149999999999995,5.199999999999999,ALL_CLASS_AGREE,LS
240368,48.75,10.149999999999999,41.1,ALL_CLASS_AGREE,SC
240370,28.25,3.6000000000000014,68.15,ALL_CLASS_AGREE,C
240371,80.7,11.844999999999999,7.455,ALL_CLASS_AGREE,LS
240372,79.94999999999999,12.540000000000004,7.51,ALL_CLASS_AGREE,LS
240373,28.05,5.450000000000003,66.5,ALL_CLASS_AGREE,C
240374,28.4,4.850000000000001,66.75,ALL_CLASS_AGREE,C
250198,44.1,12.299999999999997,43.6,ALL_CLASS_AGREE,C
250199,32.45,9.299999999999997,58.25,ALL_CLASS_AGREE,C
250200,19.200000000000003,3.950000000000003,76.85,ALL_CLASS_AGREE,C
250202,38.2,10.950000000000006,50.849999999999994,ALL_CLASS_AGREE,C
250203,29.25,5.599999999999998,65.15,ALL_CLASS_AGREE,C
250204,24.5,4,71.5,ALL_CLASS_AGREE,C
250205,68.7,19.349999999999998,11.95,ALL_CLASS_AGREE,SL
250207,48.2,14.55,37.25,ALL_CLASS_AGREE,SC
250209,24.55,4.350000000000001,71.1,ALL_CLASS_AGREE,C
250213,29.6,4.300000000000001,66.1,ALL_CLASS_AGREE,C
250214,84.1,7.1099999999999985,8.79,ALL_CLASS_AGREE,LS
250216,82.6,6.250000000000005,11.15,ALL_CLASS_AGREE,LS
250220,85.94999999999999,6.230000000000005,7.819999999999999,ALL_CLASS_AGREE,LS
250222,84.2,6.764999999999997,9.035,ALL_CLASS_AGREE,LS
250223,72,6.600000000000001,21.4,ALL_CLASS_AGREE,SCL
250224,54.25,3.8500000000000014,41.9,ALL_CLASS_AGREE,SC
250225,89.5,4.235,6.265,ALL_CLASS_AGREE,S
250227,85.2,7.019999999999998,7.779999999999999,ALL_CLASS_AGREE,LS
250228,86.05,6.895000000000003,7.055,ALL_CLASS_AGREE,LS
250229,72.85,4.999999999999998,22.15,ALL_CLASS_AGREE,SCL
250235,29.6,5.800000000000001,64.6,ALL_CLASS_AGREE,C
250236,84.65,9.55,5.8,ALL_CLASS_AGREE,LS
250238,26.45,5.5,68.05,ALL_CLASS_AGREE,C
250240,85.05000000000001,9.709999999999997,5.24,ALL_CLASS_AGREE,LS
250243,22.55,3.799999999999997,73.65,ALL_CLASS_AGREE,C
